roaster_location,coffee_origin,roast_level,agtron,est_price,review_date,aroma,acidity_structure,body,flavor,aftertaste,with_milk,acidity
"Kihei, Maui, Hawai’i",Colombia; Guatemala,NA,0/0,$25.00/six 12-ounce cans,July 2021,9,NA,8,9,8,8,NA
"Emeryville, California",Guatemala; Costa Rica; Papua New Guinea,NA,0/0,$33.00/twelve 6-ounce cans,July 2021,8,NA,9,9,8,9,NA
"Madison, Wisconsin","Guji Zone, Oromia Region, Southern Ethiopia",Medium-Light,58/78,$18.00/12 ounces,July 2021,9,9,9,9,9,NA,NA
"Madison, Wisconsin","Rosario de Desamparados, Tarrazú, Costa Rica",Medium-Light,60/78,$16.00/8 ounces,July 2021,9,9,9,9,9,NA,NA
"Chicago, Illinois","Finca Santa Teresa, Volcan, Panama",Medium-Light,60/78,$87.00/12 ounces,July 2021,9,9,9,9,8,NA,NA
"San Diego, California","Caicedonia, Valle de Cauca Department, Colombia",Medium-Light,60/77,$28.00/12 ounces,July 2021,9,9,9,9,8,NA,NA
"Chicago, Illinois","Tolima Department, Colombia",Medium-Light,56/78,$25.00/12 ounces,July 2021,9,8,9,9,8,NA,NA
"Taichung, Taiwan","Cundinamarca Department, central Colombia",Medium-Light,58/78,NT $500/150 grams,July 2021,9,8,9,9,8,NA,NA
"Chicago, Illinois","Pitalito-Bruselas, Huila Department, Colombia",Medium-Light,58/76,$25.00/12 ounces,July 2021,9,9,8,9,8,NA,NA
"Taichung, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,62/80,NT $650/150 grams,July 2021,9,9,8,9,8,NA,NA
"Taichung, Taiwan","Blue Mountain growing region, eastern Jamaica.",Light,64/82,NT $1450/150 grams,July 2021,9,8,8,9,8,NA,NA
"Taichung, Taiwan",Not disclosed,Medium-Light,52/70,NT $350/250 grams,July 2021,8,NA,9,8,8,9,NA
"Pahala, Hawaii","Kona growing region, Big Island of Hawai’i",Medium-Light,58/80,$25.00/4 ounces,June 2021,9,9,9,9,9,NA,NA
"Johns Creek, Georgia","Pichincha Province, Ecuador",Light,62/80,$45.00/12 ounces,June 2021,9,9,9,9,8,NA,NA
"Johns Creek, Georgia","Huila Department, Colombia",Medium-Light,52/72,$28.99/12 ounces,June 2021,9,9,8,9,8,NA,NA
"Madison, Wisconsin","Nyeri growing region, Kenya",Medium-Light,58/80,$20.50/12 ounces,June 2021,9,9,9,9,9,NA,NA
"Madison, Wisconsin","Pichincha Province, Ecuador",Medium-Light,56/76,$21.00/12 ounces,June 2021,9,NA,9,9,9,NA,9
"Madison, Wisconsin","Aceh Province, Sumatra, Indonesia",Medium-Light,56/74,$17.90/12 ounces,June 2021,9,NA,9,9,8,9,NA
"Madison, Wisconsin","San Isidro, Acevedo, Huila, Colombia",Medium-Light,58/78,$20.00/12 ounces,June 2021,9,9,9,9,8,NA,NA
"Bozeman, Montana",Colombia; El Salvador; Ethiopia,Medium,49/63,$16.95/12 ounces,June 2021,9,NA,8,9,8,9,NA
"Bozeman, Montana",El Salvador; Guatemala,Medium,52/68,$15.95/12 ounces,June 2021,9,8,9,9,8,NA,NA
"Minneapolis, Minnesota","Matagalpa, Nicaragua",Light,62/80,$29.95/4 ounces,June 2021,9,9,9,9,8,NA,NA
"Nashville, Tennessee","Western Highlands, Papua New Guinea",Medium-Light,52/70,$15.99/12 ounces,June 2021,9,8,8,9,8,NA,NA
"Taichung City, Taiwan","Guji Zone, southern Ethiopia",Medium-Light,52/70,$24.00/12 ounces,June 2021,9,9,9,9,9,NA,NA
"Kaohsiung, Taiwan",Ethiopia; Colombia; Brazil; Tanzania; Indonesia,Medium,50/66,NT $350/16 ounces,June 2021,8,NA,8,8,8,9,NA
"Taichung City, Taiwan","Sidamo Zone, Oromia Region, Ethiopia",Light,62/80,$20.00/12 ounces,June 2021,9,9,9,9,8,NA,NA
"Houston, Texas","South Kivu growing region, Democratic Republic of the Congo",Medium-Light,56/74,$20.00/12 ounces,June 2021,9,9,9,9,8,NA,NA
"Hamilton, Montana","Northern Province, Rwanda",Medium-Light,60/78,$17.00/12 ounces,June 2021,9,9,9,9,8,NA,NA
"Lexington, Virginia","Songwe Region, Mbozi District, Tanzania",Medium-Light,58/78,$16.95/12 ounces,June 2021,9,9,9,9,8,NA,NA
"Topeka, Kansas","Northern Province, Rwanda",Medium-Light,58/78,$21.50/12 ounces,June 2021,9,9,9,9,8,NA,NA
"Suwanee, Georgia","Ngorongoro Crater region, northern Tanzania",Medium-Light,53/71,$17.99/16 ounces,June 2021,9,9,9,9,8,NA,NA
"Ukiah, California","Gakenke growing region, Rwanda",Medium-Light,54/74,$17.50/12 ounces,June 2021,9,8,9,9,8,NA,NA
"Olympia, Washington","Kayanza State, Burundi",Light,62/80,$22.50/12 ounces,June 2021,9,8,9,9,8,NA,NA
"Tochigi, Japan","Huye District, Rwanda",Light,74/94,"¥1,050/100 grams",June 2021,9,8,9,9,8,NA,NA
"Chia-Yi, Taiwan","Nyaruguru District, Rwanda",Medium-Light,58/78,NT $220/8 ounces,June 2021,9,8,9,9,8,NA,NA
"Salisbury, Massachusetts","Kayanza State, Burundi",Medium,46/64,$15.99/10 ounces,June 2021,9,8,8,9,8,NA,NA
"Minneapolis, Minnesota","Ngorogoro, Tanzania",Light,60/84,$24.95/12 ounces,June 2021,9,9,9,9,9,NA,NA
"Chia-Yi, Taiwan","Sidama Zone, Oromia Region, Ethiopia",Medium-Light,60/78,NT $290/8 ounces,June 2021,9,9,9,10,9,NA,NA
"Floyd, Virginia","Uraga District, Guji Zone, Ethiopia",Medium-Light,58/78,$20.49/12 ounces,June 2021,9,9,9,9,9,NA,NA
"Chia-Yi, Taiwan","Alishan, Chia-Yi, Taiwan",Medium-Light,58/78,NT $700/4 ounces,June 2021,9,9,9,9,9,NA,NA
"Chia-Yi, Taiwan","Guji Zone, Oromia Region, Ethiopia",Light,60/82,NT $325/8 ounces,June 2021,9,9,9,9,9,NA,NA
"Chia-Yi, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,58/76,NT $325/8 ounces,June 2021,9,9,9,9,8,NA,NA
"Chia-Yi, Taiwan","Rutsiro, Western Province, Rwanda",Medium-Light,59/79,NT $300/8 ounces,June 2021,9,8,9,9,8,NA,NA
"Yilan, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Medium-Light,60/78,NT $500/200 grams,June 2021,9,9,9,9,9,NA,NA
"Yilan, Taiwan","Kirinyaga, Kenya",Medium-Light,58/76,NT $550/200 grams,June 2021,9,9,9,9,8,NA,NA
"Yilan, Taiwan","Gerbicho Rogicha, Bule Hora District, Guji Zone, Oromia Region, Ethiopia",Medium-Light,56/76,NT $450/200 grams,June 2021,9,NA,9,9,8,9,NA
"Redding, California","Sidamo growing region, south-central Ethiopia",Medium-Light,60/77,$30.00/300 grams,June 2021,9,9,9,9,8,NA,NA
"Bozeman, Montana","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/78,$17.95/12 ounces,May 2021,9,9,9,9,8,NA,NA
"Thermopolis, Wyoming","Nyamagabe District, Southern Province, Rwanda",Medium-Light,60/78,$14.00/12 ounces,May 2021,9,8,8,9,8,NA,NA
"Bozeman, Montana","Mount Kenya growing region, Kenya",Medium-Light,56/74,$17.95/12 ounces,May 2021,8,8,9,9,8,NA,NA
"Thermopolis, Wyoming","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,56/74,$14.00/12 ounces,May 2021,8,8,8,9,8,NA,NA
"Bozeman, Montana",El Salvador; Colombia; Ethiopia,Medium-Light,60/78,$15.95/12 ounces,May 2021,9,8,8,9,8,NA,NA
"Chicago, Illinois","Nyeri growing region, south-central Kenya",Medium-Light,56/76,$22.00/12 ounces,May 2021,9,9,9,9,9,NA,NA
"San Diego, California","Santa Barbara, Antioquia Department, Colombia",Light,62/80,$25.00/12 ounces,May 2021,9,9,9,9,8,NA,NA
"Chicago, Illinois","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,57/73,$25.00/12 ounces,May 2021,9,9,9,9,8,NA,NA
"Bogota, Colombia","Risaralda, Colombia",Medium-Light,56/72,$24.99/12 ounces,May 2021,9,9,9,9,8,NA,NA
"Madison, Wisconsin","Jaén Province, Cajamarca Region, Peru",Medium-Light,56/74,$15.80/12 ounces,May 2021,9,8,9,9,8,NA,NA
"Bogota, Colombia","Risaralda, Colombia",Medium-Light,56/74,$24.75/12 ounces,May 2021,8,8,8,9,7,NA,NA
"Madison, Wisconsin","Urrao, Antioquia Department, Colombia",Medium-Light,58/80,$18.00/8 ounces,May 2021,9,9,9,9,8,NA,NA
"Sherbrooke, Quebec, Canada",Peru; Ethiopia,Medium,46/60,$19.50/12 ounces,May 2021,8,NA,9,8,8,9,NA
"New Taipei City, Taiwan","Veracruz, Mexico",Light,62/84,NT $450/225 grams,May 2021,9,8,9,9,8,NA,NA
"Chicago, Illinois","Huila Department, Colombia",Medium-Light,57/77,$25.00/12 ounces,May 2021,9,9,9,9,8,NA,NA
"Mexico City, Mexico","Chiapas State, Mexico",Medium,52/68,$19.50/12 ounces,May 2021,8,8,9,9,7,NA,NA
"Nantou, Taiwan","Los Angeles, Sabanilla de Alajuela, Costa Rica",Medium-Light,58/80,NT $500/227 grams,May 2021,9,9,9,10,9,NA,NA
"Taipei, Taiwan",Ethiopia; Colombia; Panama; Mexico,Medium-Light,54/74,NT $420/200 grams,May 2021,9,NA,9,9,9,9,NA
"Nantou, Taiwan","Hayisa Village, Bure Woreda, Sidama Zone, Ethiopia",Medium-Light,60/78,NT $900/227 grams,May 2021,9,9,9,9,8,NA,NA
"Yilan, Taiwan","Nyamagabe District, Southern Province, Rwanda",Light,62/84,NT $320/200 grams,May 2021,9,8,9,9,8,NA,NA
"Denver, Colorado","Tolima Department, Colombia",Medium-Light,59/77,$30.00/150-gram tin,May 2021,9,9,9,9,9,NA,NA
"Taipei, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,57/77,NT $560/227 grams,May 2021,9,9,9,9,9,NA,NA
"Minneapolis, Minnesota","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/77,$24.95/12 ounces,May 2021,9,9,9,9,9,NA,NA
"San Diego, California","Caicedonia, Valle de Cauca Department, Colombia",Medium-Light,60/78,$25.00/12 ounces,May 2021,9,9,9,9,8,NA,NA
"Branford, Connecticut","Boquete growing region, western Panama",Medium-Light,58/76,$32.99/16 ounces,May 2021,9,9,9,9,8,NA,NA
"Taipei, Taiwan","Sidama growing region, southern Ethiopia",Medium-Light,56/72,NT $650/8 ounces,May 2021,9,8,9,9,8,NA,NA
"Hsinchu, Taiwan","Villa Rica, Oxapampa Province, Peru",Medium-Light,55/74,NT $2200/16 ounces,May 2021,9,9,8,9,8,NA,NA
"Orlando, Florida","Boquete growing region, western Panama",Medium-Light,58/80,$14.74/16 ounces,May 2021,9,8,9,9,8,NA,NA
"Tijuana, Mexico","Quindio Department, Colombia",Medium-Light,62/78,500 pesos/200 grams,May 2021,9,9,8,9,8,NA,NA
"Taipei, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium,48/64,NT $500/225 grams,May 2021,9,8,8,9,9,NA,NA
"Topeka, Kansas","Pasto, Nariño Department, Colombia",Medium-Light,58/78,$20.00/12 ounces,May 2021,9,8,9,9,8,NA,NA
"Carlsbad, California","Cauca Department, Colombia",Medium-Light,58/76,$30.00/12 ounces,May 2021,9,9,8,9,8,NA,NA
"Kaohsiung City, Taiwan","Yirgachefffe growing region, southern Ethiopia",Medium-Light,56/76,NT $450/227 grams,May 2021,9,NA,9,9,8,9,NA
"Kaohsiung City, Taiwan",Colombia; Guatemala,Medium-Light,56/72,NT $400/227 grams,May 2021,9,NA,8,9,8,9,NA
"Kaohsiung City, Taiwan","Coban, Guatemala",Medium-Light,58/74,NT $330/227 grams,May 2021,9,NA,8,9,8,8,NA
"Kaohsiung City, Taiwan","Caldas, Colombia",Medium-Light,54/74,NT $250/227 grams,May 2021,9,NA,8,8,8,9,NA
"Jersey City, New Jersey","Boquete growing region, western Panama",Medium-Light,59/77,$60.00/150 grams,May 2021,9,9,9,10,9,NA,NA
"Taipei, Taiwan",Guatemala; Nicaragua; Ethiopia; Costa Rica; Indonesia; Brazil,Medium-Light,54/70,$10.00/16 ounces,May 2021,9,NA,9,8,8,9,NA
"Taipei, Taiwan","Sidamo growing region, south-central Ethiopia",Medium-Light,58/80,$10.00/8 ounces,May 2021,9,8,9,9,8,NA,NA
"Mendocino, California","Jaramillo, Boquete growing region, western Panama",Medium-Light,52/70,$45.00/12 ounces,May 2021,8,8,9,9,8,NA,NA
"Glendale, California","Yirgacheffe growing region, southern Ethiopia",NA,0/0,$11.00/375 ml. flask,May 2021,9,NA,8,9,9,9,NA
"Glendale, California","Nyeri growing region, south-central Kenya",NA,0/0,$11.00/375 ml. flask,May 2021,9,NA,8,9,9,8,NA
"Tochigi, Japan","Guji Zone, Oromia Region, southern Ethiopia",Light,63/81,¥1280/100 grams,May 2021,8,9,8,9,8,NA,NA
"Tochigi, Japan","Guji Zone, Oromia Region, southern Ethiopia",Light,66/84,¥1280/100 grams,May 2021,8,8,8,9,8,NA,NA
"Tochigi, Japan","Guji Zone, Oromia Region, southern Ethiopia",Light,62/82,¥1280/100 grams,May 2021,8,8,8,8,8,NA,NA
"Tochigi, Japan","Yirgacheffe growing region, southern Ethiopia",Light,64/82,¥1280/100 grams,May 2021,8,8,8,9,7,NA,NA
"Charlotte, North Carolina","Banz, Jiwaka Province, Papua New Guinea",Medium-Light,54/72,$16.00/12 ounces,May 2021,8,8,9,9,8,NA,NA
"Minneapolis, Minnesota","Kainaliu, Kona, Big Island of Hawai’i",Medium-Light,58/82,$29.95/4 ounces,April 2021,9,9,9,9,8,NA,NA
"Minneapolis, Minnesota","Nan Province, Thailand",Medium,48/64,$16.95/12 ounces,April 2021,9,NA,8,9,8,8,NA
"Minneapolis, Minnesota","Nan Province, Thailand",Medium,48/64,$16.95/12 ounces,April 2021,9,7,8,9,7,NA,NA
"Santa Rosa Beach, Florida","Tolima, Colombia",Medium-Light,59/77,$20.00/12 ounces,April 2021,9,9,8,9,8,NA,NA
"Taipei, Taiwan","Yirgacheffe growing region, southern Ethiopia",Medium-Light,60/74,NT $400/8 ounces,April 2021,9,8,9,9,8,NA,NA
"Taipei, Taiwan","Oromia growing region, southern Ethiopia",Light,62/80,NT $600/225 grams,April 2021,9,9,8,9,8,NA,NA
"Taipei, Taiwan",Ethiopia; Nicaragua; Guatemala,Medium-Light,58/76,NT $450/8 ounces,April 2021,8,NA,9,9,8,9,NA
"Chia-Yi, Taiwan","Nakuru County, Kenya",Medium-Light,56/78,NT $210/8 ounces,April 2021,9,NA,9,9,9,9,NA
"Chia-Yi, Taiwan","Guji Zone, Oromia Region, Ethiopia",Light,62/84,NT $375/8 ounces,April 2021,9,9,9,9,9,NA,NA
"Taipei, Taiwan","Guji Zone, southern Ethiopia",Medium-Light,59/77,NT $360/225 grams,April 2021,9,9,9,9,8,NA,NA
"Chia-Yi, Taiwan","Guji Zone, Oromia region, southern Ethiopia",Medium-Light,56/76,NT $210/8 ounces,April 2021,9,NA,9,9,8,9,NA
"Chia-Yi, Taiwan",Costa Rica,Medium-Light,52/70,NT $250/8 ounces,April 2021,9,NA,9,9,8,9,NA
"Taipei, Taiwan","Guji Zone, southern Ethiopia",Light,62/80,NT $350/225 grams,April 2021,9,9,9,9,8,NA,NA
"Chia-Yi, Taiwan","yeri growing region, south-central Kenya",Medium-Light,60/78,NT $390/8 ounces,April 2021,9,9,9,9,8,NA,NA
"San Diego, California","Huila Department, Colombia",Medium-Light,60/80,$29.00/12 ounces,April 2021,9,9,9,9,9,NA,NA
"Madison, Wisconsin","Nyeri growing region, south-central Kenya",Medium-Light,60/78,$22.00/12 ounces,April 2021,9,9,9,9,9,NA,NA
"Madison, Wisconsin","Trujillo, Valle del Cauca Department, Colombia",Light,62/80,$28.00/8 ounces,April 2021,9,9,9,9,9,NA,NA
"Holualoa, Hawaii","Kona growing region, Big Island of Hawai’i",Medium-Light,58/80,$49.95/7 ounces,April 2021,9,9,9,9,8,NA,NA
"Madison, Wisconsin","Haraaz growing region, Yemen",Medium-Light,58/82,$17.50/8 ounces,April 2021,9,9,9,9,9,NA,NA
"San Diego, California","Nariño region, Antioquia Department, Colombia",Medium-Light,54/71,$19.00/12 ounces,April 2021,9,8,9,9,8,NA,NA
"Lincoln, California","Antioquia Department, Colombia",Medium-Light,52/70,$12.99/11 ounces,April 2021,9,8,9,8,7,NA,NA
"Madison, Wisconsin","Paez region, Cauca Department, Colombia",Medium-Light,58/78,$16.20/12 ounces,April 2021,9,9,8,9,8,NA,NA
"Lincoln, California","Huye District, southern Rwanda",Medium-Light,54/72,$12.99/11 ounces,April 2021,9,8,8,8,7,NA,NA
"Taichung City, Taiwan","Sidama (also Sidamo) growing region, southern Ethiopia",Light,62/80,NT $450/227 grams,April 2021,9,8,8,9,8,NA,NA
"Lincoln, California","Renacimiento District, Chiriquí Province, Panama",Medium,47/67,$12.99/11 ounces,April 2021,8,7,8,8,7,NA,NA
"Bozeman, Montana","El Guarco, Cartago Province, Costa Rica",Medium-Light,58/80,$29.95/12 ounces,April 2021,9,8,9,9,8,NA,NA
"Portland, Maine","Kiambu growing region, south-central Kenya",Medium-Light,58/78,$18.50/16 ounces,April 2021,9,9,8,9,8,NA,NA
"Sacramento, California","Yirgacheffe growing region, southern Ethiopia",Medium-Light,54/72,$23.00/12 ounces,April 2021,9,NA,8,9,8,9,NA
"Portland, Maine","Yirgacheffe growing region, southern Ethiopia",Medium-Light,58/80,$18.50/16 ounces,April 2021,9,8,9,9,8,NA,NA
"Bozeman, Montana","Kerinci Highlands, Jambi Province, Sumatra, Indonesia",Medium-Light,54/72,$17.95/12 ounces,April 2021,9,8,8,9,8,NA,NA
"Spokane, Washington","Muhanga District, Southern Province, Rwanda",Medium-Light,60/78,$16.00/12 ounces,April 2021,9,8,8,9,8,NA,NA
"Spokane, Washington","Huehuetenango growing region, Guatemala",Medium-Light,55/73,$30.00/12 ounces,April 2021,8,8,9,9,8,NA,NA
"Spokane, Washington","Atitlán growing region, Guatemala",Medium-Light,60/78,$16.00/12 ounces,April 2021,8,8,8,9,8,NA,NA
"Spokane, Washington","Gedeb District, Gedeo Zone, Ethiopia",Light,64/86,$16.00/12 ounces,April 2021,8,8,8,9,8,NA,NA
"Spokane, Washington","Bebesen District, Aceh Tengah, Sumatra, Indonesia",Medium-Light,55/77,$16.00/12 ounces,April 2021,8,8,8,9,7,NA,NA
"Spokane, Washington","Amhara Region, Ethiopia",Medium-Light,54/74,$16.00/12 ounces,April 2021,8,8,8,8,8,NA,NA
"Austin, Texas",Ethiopia,NA,0/0,$14.99/seven single-serve pouches,April 2021,6,6,7,6,5,NA,NA
"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,56/74,$87.50/8 ounces,April 2021,9,9,9,10,9,NA,NA
"Branford, Connecticut","Boquete growing region, western Panama",Light,62/84,$120.00/16 ounces,April 2021,9,9,9,9,9,NA,NA
"Mountain View, Hawai’i","Kona growing region, Big Island of Hawai’i",Medium-Light,56/76,$35.00/10 ounces,April 2021,9,9,9,9,8,NA,NA
"San Diego, California","Boquete growing region, Panama",Light,60/82,$29.00/12 ounces,April 2021,9,9,9,9,8,NA,NA
"Captain Cook, Hawai’i","North Kona growing district, “Big Island” of Hawai’i",Medium-Light,56/76,$33.00/8 ounces,April 2021,9,9,9,9,8,NA,NA
"Holualoa, Hawai’i","Kona growing region, Big Island of Hawai’i",Medium-Light,58/76,$50.00/7 ounces,April 2021,9,9,9,9,8,NA,NA
"Santa Rosa Beach, Florida","Marcala, La Paz Department, Honduras",Medium-Light,52/70,$18.00/12 ounces,April 2021,9,8,9,9,8,NA,NA
"San Diego, California","El Soccoro, Honduras",Medium-Light,58/76,$16.00/12 ounces,April 2021,9,9,8,9,8,NA,NA
"Kihei, Hawai’i","Ka'u District, Big Island of Hawai’i",Medium-Light,60/78,$47.00/12 ounces,April 2021,9,8,9,9,8,NA,NA
"Islamorada, Florida","Sipi Falls, Bugisu Region, Uganda",Medium-Light,54/74,$20.00/12 ounces,April 2021,8,8,8,9,8,NA,NA
"Henderson, Nevada","Nariño Department, southern Colombia",Medium-Light,58/72,$12.50/12 ounces,April 2021,8,8,8,9,8,NA,NA
"Douliou City, Taiwan","Guji Zone, Oromia Region, Southern Ethiopia",Light,64/82,NT $400/220 grams,April 2021,9,9,9,9,8,NA,NA
"Toronto, Ontario, Canada",Brazil; Colombia,Medium,46/62,CAD $18.00/12 ounces,April 2021,9,NA,8,9,8,9,NA
"Toronto, Ontario, Canada","ainantu District, Eastern Highlands Province, Papua New Guinea",Medium-Light,55/75,CAD $21.00/12 ounces,April 2021,9,8,9,9,8,NA,NA
"Toronto, Ontario, Canada",Colombia; Burundi,Medium-Light,58/76,CAD $18.00/12 ounces,April 2021,9,8,8,9,8,NA,NA
"Toronto, Ontario, Canada","ainantu District, Eastern Highlands Province, Papua New Guinea",Medium-Light,58/76,CAD $21.00/12 ounces,April 2021,9,8,8,9,8,NA,NA
"Toronto, Ontario, Canada","Kainantu District, Eastern Highlands Province, Papua New Guinea",Medium-Light,56/74,CAD $21.00/12 ounces,April 2021,8,8,9,9,8,NA,NA
"Minneapolis, Minnesota","Haraaz growing region, Yemen",Medium-Light,58/78,$24.95/4 ounces,April 2021,9,9,9,9,8,NA,NA
"Madison, Wisconsin","Congonama, Loja region, Ecuador",Medium-Light,58/76,$19.75/12 ounces,April 2021,9,9,8,9,8,NA,NA
"Minneapolis, Minnesota","Algeciras, Huila, Colombia",Light,62/80,$19.95/6 ounces,April 2021,9,8,9,9,8,NA,NA
"Lexington, Virginia","South Kivu Province, Democratic Republic of the Congo",Medium-Light,60/80,$18.95/12 ounces,April 2021,9,9,8,9,8,NA,NA
"Minneapolis, Minnesota","Caicedo, Antioquia Department, Colombia",Light,64/84,$24.95/4 ounces,April 2021,9,9,8,9,8,NA,NA
"Floyd, Virginia",Ethiopia; Dominican Republic,Medium-Light,58/74,$18.99/12 ounces,April 2021,9,NA,9,9,9,9,NA
"Chia-Yi, Taiwan","Boquete growing region, western Panama",Medium-Light,54/76,NT $500/8 ounces,March 2021,9,NA,9,9,9,10,NA
"Johns Creek, Georgia","Guji Zone, Oromia Region, southern Ethiopia",Light,62/84,$17.99/12 ounces,March 2021,9,9,9,9,8,NA,NA
"Harrisonburg, Virginia","Huila Department, Colombia",Light,64/82,$9.99/4 ounces,March 2021,9,9,9,9,8,NA,NA
"Chia-Yi, Taiwan","Yirgacheffe growing region, southern Ethiopia",Light,64/84,$16.00/230 grams,March 2021,9,9,9,9,8,NA,NA
"Chia-Yi, Taiwan","Central Valley, Costa Rica",Medium-Light,52/70,NT $270/8 ounces,March 2021,9,NA,9,9,8,9,NA
"Fitchburg, Wisconsin","Cauca Department, Colombia",Medium-Light,58/76,$14.20/12.64 ounces,March 2021,8,9,8,9,8,NA,NA
"Fitchburg, Wisconsin","Cauca Department, Colombia",Medium-Light,59/77,$14.20/12.64 ounces,March 2021,9,8,8,9,8,NA,NA
"Madison, Wisconsin",South America; Central America; Africa,Medium-Light,54/74,$15.75/12 ounces,March 2021,9,NA,9,9,8,9,NA
"Sacramento, California","Muhanga District, Southern Province, Rwanda",Medium-Light,59/77,$19.00/12 ounces,March 2021,9,9,8,9,8,NA,NA
"Madison, Wisconsin","Wenango District, Gedeo Zone, Ethiopia",Light,62/80,$18.75/12 ounces,March 2021,9,9,8,9,8,NA,NA
"Meeteetse, Wyoming",Not disclosed,Medium,50/68,$14.99/12 ounces,March 2021,8,8,9,9,8,NA,NA
"Sacramento, California","Cajamarca region, northern Peru",Medium-Light,56/74,$19.00/12 ounces,March 2021,9,8,8,9,8,NA,NA
"Sacramento, California","Nariño Department, Colombia",Medium-Light,58/78,$19.00/12 ounces,March 2021,9,8,8,9,8,NA,NA
"Minneapolis, Minnesota","Lintong growing region, Sumatra, Indonesia",Medium,45/63,$18.95/12 ounces,March 2021,9,8,9,9,9,NA,NA
"Minneapolis, Minnesota","Holualoa, Kona, Big Island of Hawai’i",Medium-Light,60/80,$29.95/4 ounces,March 2021,9,9,9,9,8,NA,NA
"Minneapolis, Minnesota","Huila Department, Colombia",Light,64/82,$14.95/6 ounces,March 2021,9,9,9,9,8,NA,NA
"Minneapolis, Minnesota","Cerrado growing region, Brazil",Light,64/84,$39.95/4 ounces,March 2021,9,8,9,9,8,NA,NA
"Minneapolis, Minnesota","Kona, Big Island of Hawai’i",Medium,46/62,$19.95/4 ounces,March 2021,8,8,9,9,8,NA,NA
"Minneapolis, Minnesota","Huai Mae Liam, Chiang Rai, Thailand",Light,64/80,$24.95/12 ounces,March 2021,9,8,8,9,8,NA,NA
"Bogota, Colombia","Quindío Department, Colombia",Medium-Dark,40/56,$15.75/12 ounces,March 2021,8,NA,8,9,7,9,NA
"Bogota, Colombia","Risaralda Department, Colombia",Medium-Light,52/70,$15.75/12 ounces,March 2021,8,8,8,9,7,NA,NA
"Shanghai, China",Ethiopia; Brazil; Guatemala; Colombia,Medium,48/64,$28.80/500 grams,March 2021,9,NA,8,9,8,9,NA
"San Diego, California","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/78,$20.00/12 ounces,March 2021,9,8,9,9,9,NA,NA
"San Diego, California","South Kivu Province, Democratic Republic of the Congo",Light,62/80,$21.00/12 ounces,March 2021,9,8,9,9,8,NA,NA
"Taipei, Taiwan","Guji Zone, Oromia region, southern Ethiopia",Medium-Light,58/74,NT $400/227 grams,March 2021,8,8,8,9,8,NA,NA
"Manlius, New York","Cusco, Peru",Medium-Light,60/78,$27.00/8 ounces,March 2021,9,9,9,9,8,NA,NA
"Lincoln, California","Yirgacheffe growing region, southern Ethiopia",Medium-Light,52/70,$12.99/10 ounces,March 2021,9,8,8,9,8,NA,NA
"Lincoln, California","Naranjo, West Valley, Costa Rica",Medium,51/69,$12.99/11 ounces,March 2021,8,8,8,9,8,NA,NA
"Lincoln, California","Antigua, Guatemala",Medium,50/66,$12.99/11 ounces,March 2021,8,8,8,9,7,NA,NA
"Reno, Nevada","Volcan growing region, western Panama",Medium-Light,60/78,$20.00/12 ounces,March 2021,9,9,9,9,8,NA,NA
"Bozeman, Montana","San José, La Paz Department, Honduras",Medium-Light,56/74,$15.95/12 ounces,March 2021,8,NA,9,8,8,9,NA
"Yilan, Taiwan","Cobán growing region, central Guatemala",Medium-Light,58/78,NT $320/200 grams,March 2021,9,9,9,9,8,NA,NA
"Reno, Nevada","Yirgacheffe growing region, southern Ethiopia",Medium-Light,58/78,$19.00/12 ounces,March 2021,9,9,9,9,8,NA,NA
"Bozeman, Montana","Tarrazu, Costa Rica",Medium-Light,60/76,$16.95/12 ounces,March 2021,9,8,8,9,8,NA,NA
"Osaka, Japan","Cauca, Colombia",Light,85/105,"¥ 1,580/100 grams",March 2021,9,9,9,10,9,NA,NA
"Osaka, Japan","Yunlin, Taiwan",Light,79/92,"¥ 2,640/50 grams",March 2021,9,9,9,9,8,NA,NA
"Caotun, Nantou, Taiwan",Not disclosed,Medium,47/67,NT $650/455 grams,March 2021,8,NA,8,8,8,9,NA
"Seattle, Washington","Guji Zone, Oromia Region, south-central Ethiopia",Light,62/80,$14.00/225 grams,March 2021,9,9,8,9,8,NA,NA
"Redlands, California","Kirinyaga County, south-central Kenya",Light,62/80,$21.00/12 ounces,March 2021,9,9,8,9,8,NA,NA
"Viroqua, Wisconsin","South Kivu, Democratic Republic of the Congo",Light,64/80,$19.00/12 ounces,March 2021,9,8,9,9,8,NA,NA
"Mendocino, California",Nicaragua; Guatemala; Ethiopia,Medium,50/66,$15.00/12 ounces,March 2021,9,8,8,9,8,NA,NA
