,score,roaster,title,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,blind_assessment,notes,bottom_line
0,94,Dragonfly Coffee Roasters,Yemen Mocha Haimi,"Henderson, Nevada","Sana’a growing region, Yemen",Light,63/83,$35.00/8 ounces,"Delicately perfumed, sweetly fermenty. Green grape, rum barrel, rhododendron, cocoa nib, oak in aroma and cup. Sweet-tart structure with juicy acidity; syrupy-smooth mouthfeel. Sweet ferment suggesting rum barrel animates the crisply cocoa-toned finish. ",Sourced from producer groups across Yemen’s Sana’a growing region by Fatuom Muslot. Produced from trees of the Yemen landrace varieties ," A balanced, bright Yemen cup with leading notes of vanilla-like florals and subtle sweet ferment."
0,94,GK Coffee,Costa Rica Hacienda Tobosi Villalobos Anaerobic Natural,"Yilan, Taiwan","El Guarco, Cartago Province, Costa Rica",Light,62/80,NT $600/200 grams,"Complex, richly sweet-savory, deeply floral. Star jasmine, salted caramel, cocoa nib, wild strawberry, mustard seed in aroma and cup. Sweet-tart-savory structure with high-toned acidity; very full, syrupy mouthfeel. Cocoa-driven finish with undertones of caramel and mustard seed.","Produced at Hacienda Tobosi entirely of the Villalobos variety of Arabica, and processed by the natural anaerobic method (whole fruit is fermented with limited oxygen before drying). GK Coffee is a nano-roastery in Yilan, Taiwan that offers both retail and wholesale coffee. For more information, visit"," A uniquely composed Costa Rica coffee processed by an experimental anaerobic natural method that yields a cup equally fruity, floral, and deeply savory."
0,94,SkyTop Coffee,Colombia Wush Wush,"Manlius, New York","Santander Department, Colombia",Medium,56/64,$27.00/12 ounces,"Elegantly spice-toned, floral. Bergamot, lilac, pink peppercorn, caramel, plum in aroma and cup. Delicately sweet-savory structure with lively, juicy acidity; very syrupy-smooth mouthfeel. Finish consolidates to notes of caramel and plum.","Produced by Oscar Daza of Hacienda La Pradera entirely of the Ethiopian Wush Wush variety of Arabica, and processed by the honey method, in which some fruit flesh is allowed to adhere to the beans during drying. SkyTop Coffee is a USDA certified-organic specialty coffee roaster based in Manlius, New York. For more information, visit"," A harmoniously balanced, satisfying complete, multi-layered Colombia cup produced from trees of the Ethiopian Wush Wush variety: citrus, spice, and stone fruit aromas and flavors throughout."
0,94,SOT Coffee Roaster,Brazil Gauriroba Natural,"Osaka, Japan","Minas Gerais State, southeastern Brazil",Light,82/104,¥2980/100 grams,"Citrusy-bright, juicy-sweet, spice-toned. Pink grapefruit zest, green peppercorn, honeysuckle, agave syrup, frankincense in aroma and cup. Delicately sweet-tart structure with high-toned, vibrant acidity; silky, buoyant mouthfeel. The resonant finish leads with notes of pink grapefruit zest and honeysuckle with green peppercorn and frankincense in the long.","Produced by Homero Aguiar Paiva at Fazenda Gauriroba entirely of the Yellow Catuai variety of Arabica, and processed by the natural method (sun-dried in the whole fruit). SOT Coffee Roaster, based in Osaka, Japan, is a self-described Swedish-style roaster with an “aggressively light” roasting style. "," An intriguingly complex Brazil natural cup, resonant throughout with spice, citrus and sweet floral notes."
0,94,Simon Hsieh Aroma Roast Coffees,Rwanda “Silverback Returns”,"Taoyuan, Taiwan","Rutsiro District, western Rwanda",Medium-Dark,42/58,NT $800/8 ounces,"Evaluated as espresso. Sweetly roast-toned, richly chocolaty and deep. Dark chocolate, black cherry, almond extract, marjoram, cedar in aroma and small cup. Creamy, viscous mouthfeel; chocolaty and fruit-driven finish. Chocolate explodes in three parts milk, supported by notes of black cherry and cedar with a hint of sweet marjoram. ","Comprised entirely of the Red Bourbon variety of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). In addition to his retail roasting operation, Aroma Roast Coffees, Simon Hsieh also operates Soaring Phoenix Trading, a business focused on purpose-built commercial espresso blends and high-quality single-origin coffees. Customers can also visit the new showroom, Chateau Andy, in Taipei City. Visit"," A deftly darker-roasted single-origin espresso that’s equally impressive in the straight shot and in milk: chocolaty, fruit-toned; complex and rich."
0,93,Dragonfly Coffee Roasters,Yemen Mocha Khulani,"Henderson, Nevada","Sana’a growing region, Yemen",Medium-Light,60/80,$35.00/8 ounces,"Subtly complex, fruit-toned. Raspberry coulis, freesia, almond nougat, cedar, lemon verbena in aroma and cup. Sweet-tart structure with vibrant acidity; crisp, silky mouthfeel. Berry and cedar-toned finish.",Sourced from producer groups across Yemen’s Sana’a growing region by Fatuom Muslot. Produced from trees of the Yemen landrace varieties of A," A berry-driven, multi-layered Yemen coffee with spice-toned floral notes supporting raspberry and citrusy herb suggestions."
0,93,Simon Hsieh Aroma Roast Coffees,Peru “El Dorado”,"Taoyuan, Taiwan","Jaen, Cajamarca, Peru",Medium-Dark,40/60,NT $600/8 ounces,"Evaluated as espresso. Bold, roasty-sweet, floral-toned. Magnolia, hazelnut butter, dark chocolate, date, fresh-cut oak in aroma and small cup. Syrupy-smooth mouthfeel; crisp, floral-toned, chocolaty finish.","Produced by smallholding farmers of the Caturra, Typica, Catimor, Mundo Novo and Pache varieties of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). In addition to his retail roasting operation, Aroma Roast Coffees, Simon Hsieh also operates Soaring Phoenix Trading, a business focused on purpose-built commercial espresso blends and high-quality single-origin coffees. Customers can also visit the new showroom, Chateau Andy, in Taipei City. Visit"," A resonant, roast-centered but balanced single-origin espresso with a lovely magnolia-like throughline."
0,93,Dragonfly Coffee Roasters,Yemen Mocha Harazi,"Henderson, Nevada","Sana’a growing region, Yemen",Medium-Light,62/78,$35.00/8 ounces,"Crisply spice-toned. Molasses, dried cherry, clove, cashew, grapefruit zest in aroma and cup. Sweet-toned structure with brisk acidity; lightly syrupy mouthfeel. The finish consolidates to notes of molasses, clove and cashew.","Sourced from producer groups across Yemen’s Sana’a growing region by Fatuom Muslot. Produced from trees of the Yemen landrace varieties Dawaeri and Jadi and processed by the natural method (sun-dried in the whole fruit). Dragonfly Coffee, named 2019 Micro-Roaster of the Year by Roast magazine, is now based in Henderson, Nevada. Visit"," A sweetly spice-toned Yemen cup with undertones of citrus zest, dried stone fruit and sweet nuts."
0,92,Forest Roasting,Top Blend 2,"Yuanlin, Taiwan",Brazil; Colombia; Guatemala,Medium-Light,57/77,NT $380/12 ounces,"Gently fruit-toned, cocoa-driven. Cocoa powder, black cherry, magnolia, fresh-cut fir, orange zest in aroma and cup. Sweet structure with brisk acidity; velvety-smooth mouthfeel. Cocoa- and fruit-toned, wood-framed finish.","A blend of coffees from Brazil, Colombia and Guatemala. Forest Roasting is a coffee roastery and cafe based in Yuanlin, Taiwan that specializes in quality coffees and food choices. Visit "," A friendly, accessible blend of coffees from Brazil, Colombia and Guatemala that nets a cocoa- and fruit-toned cup."
0,93,Forest Roasting,Top Blend 1,"Yuanlin, Taiwan",Panama; Ethiopia; Costa Rica,Medium-Light,58/76,NT $380/12 ounces,"Balanced, bright, sweet-toned. Apricot, cocoa nib, lavender, maple syrup, cedar in aroma and cup. Sweetly tart with vibrant, malic (apple-like) acidity; delicately satiny mouthfeel. Finish consolidates to notes of cocoa nib and lavender with undertones of maple syrup.","A blend of coffees from Panama, Ethiopia and Costa Rica. Forest Roasting is a coffee roastery and cafe based in Yuanlin, Taiwan that specializes in quality coffees and food choices. Visit "," A nuanced blend of coffees from Panama, Ethiopia and Costa Rica with an especially pleasing, crisply juicy acidity."
0,91,Japanese Coffee Co.,Quattoro Mountain Blend,"Sapporo, Japan",Colombia; Ecuador; Indonesia; Uganda,Medium-Dark,42/56,$48.00/12 ounces,"Evaluated as espresso. Bold, sweetly roast-toned, chocolaty. Dark chocolate, rhododendron, raisin, scorched oak, molasses in aroma and small cup. Velvety mouthfeel; gently drying, roasty-sweet finish with dark chocolate and scorched oak undertones. The milk shot is both floral and chocolaty, supported by notes of raisin and molasses.","A darker-roasted blend of coffees from Colombia, Ecuador, Indonesia and Uganda. Japanese Coffee Co. is a Sapporo-based roastery specializing in the Sumiyaki charcoal-roasting method and operates 10 coffee shops throughout the Hokkaido area. Visit ", A complex darker-roasted blend. Cappuccino-scaled milk brings out its chocolaty best.
0,94,GK Coffee,Brazil Ipanema Golden Edition C26 Lychee,"Yilan, Taiwan","Ipanema, Brazil",,0/0,NT $200/160-ml bottle,"A ready-to-drink black coffee, tested cold. Dried guava, dark chocolate, frangipane, vanilla, cedar. Sweet-tart structure with crisp, juicy acidity; refreshingly silky mouthfeel. Guava and dark chocolate lead in the finish, with undertones of cedar and vanilla. Like sweet guava ice cream with a cedar edge in milk.",The coffee tied for the highest rating in a tasting of ready-to-drink black coffees for ," An unusual, uniquely composed single-origin Brazil cold-brew: tropical, tart-leaning, richly fruity."
0,94,Roast House,Ethiopia Mormora Cold Brew,"Spokane, Washington","Guji Zone, Oromia Region, Ethiopia",,0/0,$5.50/12-ounce bottle,"A ready-to-drink black coffee, tested cold. Dried apricot, baking chocolate, lemon verbena, marjoram, frankincense. Juicy, sweet-tart structure with lively acidity; satiny-smooth mouthfeel. The balanced finish is equal parts dark chocolate and dried apricot. Chocolate notes are further amplified in milk, as sweet marjoram and resiny frankincense notes.",The coffee tied for the highest rating in a tasting of ready-to-drink black coffees for ," A fruity, decadently tart, chocolaty and richly savory single-origin Ethiopia natural cold brew."
0,93,Auto Coffee,Ethiopia Blend Cold Brew,"New Taipei City, Taiwan",Ethiopia,,0/0,$2.00/200-ml bottle,"A ready-to-drink black coffee, tested cold. Red plum, cocoa nib, maple syrup, tangerine, oak. Crisply sweet-tart structure with lively, apple-toned acidity; delicate, silky mouthfeel. Cocoa-toned finish with notes of maple syrup and tangerine. In milk, the tart lime is softened and the cocoa and maple syrup intensify.",The coffee tied for the second-highest rating in a tasting of ready-to-drink black coffees for ," A deep, complex Ethiopia cold brew prepared by a small roaster in Taiwan, satisfying and finely structured."
0,93,Big Shoulders Coffee,Black Cold Brew,"Chicago, Illinois",Ethiopia; Uganda; Colombia,,0/0,$35.00/six 8-ounce cans,"A ready-to-drink black coffee, tested cold. Date, almond, caramel, freesia, bergamot. Sweet-toned with gentle, round acidity; velvety-smooth mouthfeel. Richly sweet, gentle finish. Combined with milk, this cold brew is caramelly and nut-toned with a hint of spice.",The coffee tied for the second-highest rating in a tasting of ready-to-drink black coffees for ," A deep, rich, balanced and inviting cold brew, especially sweet and caramelly in the milk shot."
0,93,Chromatic x Dripdash Collab,Kyoto Iced Coffee,"San Jose, California",Brazil; Ethiopia; Guatemala,,0/0,$4.49/280 ml can,"A ready-to-drink black coffee, tested cold. Black cherry, cocoa nib, lilac, toffee, sassafras. Sweet-savory structure with juicy acidity; crisp, delicate mouthfeel. The savory-sweet theme continues into the finish with notes of lilac and sassafras. The volume is turned down in milk in exchange for a mellow, toffee-driven vibe.",The coffee tied for the second-highest rating in a tasting of ready-to-drink black coffees for , What would obviously be a friendly and inviting blend brewed hot is captured here in cold-coffee form: sweet-tart fruit notes juxtaposed with a cocoa and sweet-savory undercurrent.
0,93,Collage Coffee,Kenya Cold Brew,"Grove City, Pennsylvania",Kenya,,0/0,$4.00/12-ounce bottle,"A ready-to-drink black coffee, tested cold. Red currant, toffee, lemon-thyme, magnolia, bergamot. Richly sweet-savory structure with balanced, high-toned acidity; crisp, satiny mouthfeel. The finish consolidates to notes of red currant and toffee. Milk enhances the toffee and bergamot notes beautifully.",The coffee tied for the second-highest rating in a tasting of ready-to-drink black coffees for ," A complex, multi-layered, richly sweet-savory cold coffee that expresses its classic Kenya roots impeccably."
0,93,Corvus Coffee Roasters,Dead Reckoning,"Denver, Colorado",Ethiopia; Brazil,,0/0,$14.00/four 8-ounce cans,"A ready-to-drink black coffee, tested cold. Baking chocolate, hazelnut, rose hips, raspberry, cedar. Sweet-toned structure with citrusy acidity; pleasingly dry mouthfeel (think good dry vermouth). Resonant, long, flavor-saturated finish. Milk softens all the dramatic edges of this compelling blend, emphasizing a gentle sweet-tart creaminess.",The coffee tied for the second-highest rating in a tasting of ready-to-drink black coffees for ," A cleanly fruit-forward Ethiopia-Brazil cold-brewed blend, crisp, sweet, balanced and friendly."
0,93,States Coffee,Cold Brew,"Martinez, California",Guatemala; Ethiopia,,0/0,$4.25/12-ounce bottle,"A ready-to-drink black coffee, tested cold. Dark chocolate fudge, raspberry coulis, molasses, almond butter, redwood. Richly sweet structure with brisk acidity; velvety-smooth mouthfeel. The finish is chocolaty, through and through — in milk, dessert-like, reminiscent of a chocolate-raspberry truffle.",The coffee tied for the second-highest rating in a tasting of ready-to-drink black coffees for ," A deeply chocolaty, almost fudge-like, cold brew pleasingly complicated by hints of raspberry and molasses."
0,92,Origin Coffee Roasters,Cold Brew Coffee,"Kihei, Maui, Hawai’i",Colombia; Guatemala,,0/0,$25.00/six 12-ounce cans,"A ready-to-drink black coffee, tested cold. Apricot, baking chocolate, freesia, lemon-thyme, fresh-cut cedar. Sweetly tart structure with lively acidity; crisp, satiny mouthfeel. Aromatic cedar-like wood notes frame the gently fruit-toned, chocolaty finish. The milk shot softens the brightness and suggests a candy bar from childhood; perhaps a KitKat?",The coffee tied for the third-highest rating in a tasting of ready-to-drink black coffees for ," A refreshingly tart, crisply sweet cold brew, balanced, bright, and delicately chocolaty."
0,93,Highwire Coffee Roasters,Flash Brewed Coffee,"Emeryville, California",Guatemala; Costa Rica; Papua New Guinea,,0/0,$33.00/twelve 6-ounce cans,"A ready-to-drink black coffee, tested cold. Cocoa nib, hazelnut, dried persimmon, honeysuckle, fresh-cut oak. Sweet-toned structure with malic acidity; viscous, lightly syrupy mouthfeel. Chocolaty, nut-toned finish with hints of persimmon and sweet florals. Adding milk amps up the cocoa tones and deepens the rich nut and fruit flavors.",The coffee tied for the second-highest rating in a tasting of ready-to-drink black coffees for ," A balanced, chocolaty, richly sweet-savory RTD coffee; would pair nicely with a buttery croissant."
0,95,JBC Coffee Roasters,Gigesa Natural,"Madison, Wisconsin","Guji Zone, Oromia Region, Southern Ethiopia",Medium-Light,58/78,$18.00/12 ounces,"Richly berry-toned, sweetly herbaceous. Raspberry coulis, lemon verbena, wild honey, cedar, a hint of marjoram in aroma and cup. Sweet structure with vibrant acidity; syrupy-smooth mouthfeel. The fruit-forward finish is supported by sweet herb notes and rich aromatic wood suggesting cedar.",Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit," An elegant, juicy, raspberry and honey-toned natural-processed Ethiopia cup — delicate, high-toned, deeply inviting."
0,95,JBC Coffee Roasters,El Jocote Natural,"Madison, Wisconsin","Rosario de Desamparados, Tarrazú, Costa Rica",Medium-Light,60/78,$16.00/8 ounces,"Juicy, vibrant, tartly floral. Dried hibiscus, Meyer lemon zest, guava, cocoa nib, sandalwood in aroma and cup. Balanced, brightly sweet-tart structure with high-toned acidity; silky, viscous mouthfeel. Resonant, rich, flavor-laden finish.","Produced by Eduardo Navarro Jiminez and Juan Carlos Navarro Ceciliano, entirely of the Caturra variety of Arabica, and processed by the natural method (dried in the whole fruit). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit"," A brightly sweet-tart natural-processed Costa Rica cup from the mountains of Tarrazú — beautifully structured, confident, deeply satisfying."
0,94,Big Shoulders Coffee,Panama Finca Santa Teresa Summer Gesha,"Chicago, Illinois","Finca Santa Teresa, Volcan, Panama",Medium-Light,60/78,$87.00/12 ounces,"Delicately, richly perfumy. Guava, cocoa nib, frankincense, wild honey, lilac in aroma and cup. Sweet in structure with bright, vibrant acidity; silky, levitating mouthfeel. The deeply sweet finish centers around guava, cocoa nib and frankincense.","Produced at Finca Santa Teresa, entirely of the Gesha (also Geisha) variety of Arabica, and processed by the honey method, in which some sweet pulp or fruit flesh (“honey”) is allowed to adhere to the beans during drying. Big Shoulders Coffee is a Chicago artisan roaster that emphasizes a fresh-roasted, no-nonsense approach to fine coffee. Visit www.bigshoulderscoffee.com or call 312-846-1439 for more information. "," An understated, complex, elegantly aromatic Panama Geisha cup saturated with resiny floral, tropical fruit and honey notes."
0,94,Nostalgia Coffee Roasters,Baby Dragons,"San Diego, California","Caicedonia, Valle de Cauca Department, Colombia",Medium-Light,60/77,$28.00/12 ounces,"Juicy-sweet, fruit-driven. Lychee, tea rose, sandalwood, cashew, chocolate fudge in aroma and cup. Richly bittersweet structure with juicy, bright acidity; plush, syrupy mouthfeel. The resonant, long, flavor-laden finish centers around notes of lychee and chocolate.",Produced by Rigoberto and Rodrigo Herrera at Finca Potosí of Café Granja Esperanza and processed by the natural method (beans are dried in the whole fruit). Nostalgia Coffee Roasters was founded by Taylor Fields in 2018 as a mobile café; it has since added specialty roasting and online sales of select fine coffees. Visit, A decadently rich natural-processed Colombia cup characterized by sweet fruit and spice-toned florals.
0,93,Big Shoulders Coffee,Colombia Lagoon Java Anaerobic,"Chicago, Illinois","Tolima Department, Colombia",Medium-Light,56/78,$25.00/12 ounces,"Fruit-forward, high-toned. Pink grapefruit zest, rhododendron, baking chocolate, agave syrup, freesia in aroma and cup. Sweet-toned structure with brisk acidity; very full, syrupy mouthfeel. Crisply sweet, floral-toned finish with citrus undertones.","Produced at Vergel Estate entirely of the Java variety of Arabica, and processed by the anaerobic natural method (whole fruit is fermented with limited oxygen before drying).  Big Shoulders Coffee is a Chicago artisan roaster that emphasizes a fresh-roasted, no-nonsense approach to fine coffee. Visit www.bigshoulderscoffee.com or call 312-846-1439 for more information. "," A clean, intensely fruit-toned anaerobically processed Colombia cup, citrusy and bright."
0,93,Le Brewlife,Colombia La Palma y El Tucan,"Taichung, Taiwan","Cundinamarca Department, central Colombia",Medium-Light,58/78,NT $500/150 grams,"Deeply sweet, fruit-toned. Watermelon candy, dark chocolate, a whiff of Bourbon barrel, fresh-cut fir, gardenia in aroma and cup. Sweet-tart structure with gentle acidity; full, satiny mouthfeel. Crisp, dry, chocolaty short finish with notes of sweet watermelon and whiskyish ferment in the long.","Produced at La Palma Y El Tucan and processed by the anaerobic natural method (whole fruit is fermented with limited oxygen before drying). Le Brewlife is a specialty coffee roaster based in Taichung, Taiwan. Visit "," An intentionally fermenty, fruit-toned Colombia cup processed by the anaerobic method: fruity, chocolaty, pleasantly funky."
0,93,Big Shoulders Coffee,Colombia Pink Bourbon Farmer Collaboration,"Chicago, Illinois","Pitalito-Bruselas, Huila Department, Colombia",Medium-Light,58/76,$25.00/12 ounces,"Balanced, bright, deep-toned. Dark chocolate, red plum, almond butter, freesia-like flowers, oak in aroma and cup. Sweetly bright in structure with juicy acidity; crisp, satiny mouthfeel. The chocolaty and nut-toned finish is complicated by hints of freesia.","A two-farm collaboration. Produced from trees of the admired Pink Bourbon variety of Arabica on the farms of Edier Perdomo Claros and Pedro Claros Zapata and processed by the washed method. Big Shoulders Coffee is a Chicago artisan roaster that emphasizes a fresh-roasted, no-nonsense approach to fine coffee. Visit www.bigshoulderscoffee.com or call 312-846-1439 for more information. "," An inviting, nuanced Colombia Pink Bourbon cup: richly chocolaty with spicy floral and sweet fruit notes throughout."
0,93,Le Brewlife,Ethiopia Wush Wush G1,"Taichung, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,62/80,NT $650/150 grams,"Floral and richly fruit-forward. Tea rose, anise, ripe cantaloupe, roasted pecan, marshmallow in aroma and cup. Roundly sweet-savory structure with winy, bright acidity; satiny mouthfeel. The rich finish leads with notes of tea rose and cantaloupe, supported by anise and marshmallow.","Produced by smallholding farmers entirely of the Ethiopia Wush Wush variety of Arabica and processed by the natural method (beans are dried in the whole fruit). Le Brewlife is a specialty coffee roaster based in Taichung, Taiwan. Visit "," A quietly confident, resonantly floral, richly fruit-toned natural-processed Ethiopia cup."
0,92,Le Brewlife,Jamaica Blue Mountain,"Taichung, Taiwan","Blue Mountain growing region, eastern Jamaica.",Light,64/82,NT $1450/150 grams,"Balanced, accessible, cocoa-toned. Cocoa nib, plum, nougat, lemon verbena, magnolia in aroma and cup. Sweet-toned with pert acidity; velvety mouthfeel. The finish consolidates to cocoa-toned nougat with lemon verbena undertones.","Produced entirely of the traditional Typica variety of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Le Brewlife is a specialty coffee roaster based in Taichung, Taiwan. Visit "," A gently classic Jamaica Blue Mountain cup: cocoa-toned and crisply sweet, nuanced with hints of citrusy herbs and nougat."
0,92,Le Brewlife,Le Brewlife Espresso Blend,"Taichung, Taiwan",Not disclosed,Medium-Light,52/70,NT $350/250 grams,"Evaluated as espresso. Chocolaty and nut-toned. Baking chocolate, hazelnut, date, fir, a hint of marjoram in aroma and small cup. Creamy mouthfeel; crisply chocolaty, nut-driven finish with undertones of fresh-cut fir. In three parts milk, chocolaty and nut-toned, Nutella-like.","A blend of Arabica coffees (of undisclosed origin), processed by the washed method (fruit skin and flesh are removed from the beans before they are dried) and roasted for espresso applications. Le Brewlife is a specialty coffee roaster based in Taichung, Taiwan. Visit "," A friendly, accessible, richly chocolate espresso blend nuanced by sweet nut and rich aromatic wood notes throughout."
0,94,Peach Coffee Roasters,Ecuador San José de Minas Double-Anaerobic,"Johns Creek, Georgia","Pichincha Province, Ecuador",Light,62/80,$45.00/12 ounces,"Delicately sweet, richly perfumy. Bergamot, marzipan, lilac, apricot, cocoa nib in aroma and cup. Sweetly tart in structure with very lively, juicy acidity; lightly viscous, silky mouthfeel. The finish centers around notes of bergamot and lily, rounding to cocoa nib in the long.","Produced by Galo Morales of Finca Cruz Loma, of the Sidra and Typica Mejorada "," A resonant, clean, vibrantly sweet-tart washed anaerobic Ecuador cup with an exhilaratingly complex range of aromatic expression."
0,93,Peach Coffee Roasters,Colombia Bandida Lactic Natural,"Johns Creek, Georgia","Huila Department, Colombia",Medium-Light,52/72,$28.99/12 ounces,"Bright, juicy, high-toned. Bing cherry, chocolate fudge, toffee, hop flowers, cedar in aroma and cup. Sweetly savory with vibrant, citrusy acidity; very smooth, satiny mouthfeel. The tart-leaning finish is rounded by sweet chocolate notes.","Produced by Andres Guaca of Finca La Bandida entirely of the rare Pink Bourbon variety of Arabica, and processed by fermenting whole cherries for 65 hours with the addition of lactobacilli, then drying them in the sun. Peach Coffee Roasters is an Atlanta, Georgia-based specialty roaster. Visit"," A richly bittersweet Colombia cup processed with the addition of lactobacilli to the whole-cherry fermentation, resulting in a fundamentally sweet cup with savory undertones."
0,95,JBC Coffee Roasters,Nyeri Hill Kenya,"Madison, Wisconsin","Nyeri growing region, Kenya",Medium-Light,58/80,$20.50/12 ounces,"Richly sweet-tart, deeply nuanced. Lychee, pink grapefruit zest, sassafras, cocoa nib, star jasmine in aroma and cup. Deep-toned, balanced structure with lush, juicy acidity; viscous, syrupy mouthfeel. Complexly layered finish redolent of lychee and star jasmine, with cocoa nib undertones. ","Produced at Nyeri Hill Estate from trees of the SL28, SL34 and Ruiru 11 varieties of Arabica and processed by the washed method. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit"," A complete, expressive Kenya cup with tart fruit, sweet cocoa and spicy floral notes throughout."
0,94,JBC Coffee Roasters,Pantan Musara Sumatra,"Madison, Wisconsin","Aceh Province, Sumatra, Indonesia",Medium-Light,56/74,$17.90/12 ounces,"Evaluated as espresso. Spice-toned, richly sweet-savory. Baking spices, mulberry, dark caramel, marjoram, narcissus in aroma and small cup. Nectar-like mouthfeel; crisp, sweet finish. In cappuccino-scaled milk, mulberry and clove notes lead, with undertones of dark caramel and narcissus.","Produced by smallholding farmers from trees of the Gayo 1, Gayo 2, Catimor and  Abyssinia varieties of Arabica and processed by the conventional washed method, rather than the wet-hulled variation more typical of Sumatra. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit"," A rare conventionally washed-process Sumatra cup, roasted for espresso, rich, spice-toned and floral."
0,94,JBC Coffee Roasters,Las Flores Colombia,"Madison, Wisconsin","San Isidro, Acevedo, Huila, Colombia",Medium-Light,58/78,$20.00/12 ounces,"Sweet, bright, elegant. Dark chocolate, hazelnut butter, freesia, nougat, cedar in aroma and cup. Richly sweet structure with crisp, high-toned acidity; very full, satiny mouthfeel. Finish consolidates to cocoa-toned nut and freesia supported by fresh-cut cedar.","Produced by Jhoan Manuel Vergara Ayure of Finca Las Flores, entirely of the Pink Bourbon variety of Arabica, and processed by the washed method. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit"," A deep, chocolaty Colombia cup with ballast from spicy florals and sweet, creamy nut.

"
0,93,RamsHead Coffee Roasters,Snowfield Espresso Blend,"Bozeman, Montana",Colombia; El Salvador; Ethiopia,Medium,49/63,$16.95/12 ounces,"Evaluated as espresso. Deep-toned, richly chocolaty. Dark chocolate, pecan praline, lily, golden raisin, cedar in aroma and small cup. Satiny-smooth mouthfeel; chocolaty and floral-toned finish. The milk shot is all chocolate, front and center, supported by suggestions of lily and golden raisin.","An espresso blend comprised of washed-process coffees from El Salvador, Ethiopia and Colombia. RamsHead Coffee Roasters is a family-owned company founded by Bozeman, Montana natives Caleb and Laura Walker that specializes in direct trade microlot coffees. For more information, visit"," A balanced blend of coffees from El Salvador, Ethiopia and Colombia that offers a richly chocolaty and thoroughly floral cup, especially attractive in cappuccino-scaled milk."
0,93,RamsHead Coffee Roasters,Pandemic Pacamara Blend,"Bozeman, Montana",El Salvador; Guatemala,Medium,52/68,$15.95/12 ounces,"Richly nut-toned, sweetly savory. Almond brittle, magnolia, date, fresh-cut oak, lemon-thyme in aroma and cup. Sweet-savory structure with gentle but lively acidity; creamy-smooth mouthfeel. The deeply sweet, nutty finish suggests almond brittle with magnolia and oak undertones.","A blend comprised of two coffees of the Pacamara variety, one from the Menendez Family Farm in El Salvador and the other from Finca Isnul in Guatemala, both processed by the washed method. RamsHead Coffee Roasters is a family-owned company founded by Bozeman, Montana natives Caleb and Laura Walker that specializes in direct trade microlot coffees. For more information, visit", An adeptly medium-roasted all-Pacamara blend that emphasizes this big-beaned variety’s engaging balance of sweet and savory impulses.
0,94,Paradise Roasters,Nicaragua Yellow Pacamara Natural,"Minneapolis, Minnesota","Matagalpa, Nicaragua",Light,62/80,$29.95/4 ounces,"Richly sweet-tart, fruit-driven. Dried apricot, almond nougat, clove, freesia-like flowers, lemon verbena in aroma and cup. Sweet-toned structure with complex tart and savory undertones and juicy, bright acidity; nectar-like mouthfeel. The crisp, fruit-forward finish centers around notes of dried apricot and almond nougat.","Produced by the Mierisch family at Finca La Huella entirely of the big-beaned Yellow Pacamara variety of Arabica and processed the natural method (sun-dried in the whole fruit). Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit"," Nuanced and complex, a rare natural-processed Pacamara from Nicaragua. Deep, rich, and sweet-tart-savory in harmonious balance."
0,92,Raggiana Coffee,Papua New Guinea Sigri Estate Medium Roast,"Nashville, Tennessee","Western Highlands, Papua New Guinea",Medium-Light,52/70,$15.99/12 ounces,"Sweet, richly nut-toned. Cashew butter, cocoa nib, pear, thyme, cedar in aroma and cup. Sweet-toned structure with gentle, round acidity; crisp, satiny mouthfeel. Quiet, inviting finish centered around notes of cashew and pear with undertones of cedar.","Produced at Sigri Estate from trees of the Typica and Arusha varieties of Arabica and processed by the washed method. Raggiana Coffee works with farms in Papua New Guinea to source high-quality, sustainably grown coffees and roasts them to sell both as subscriptions and standalone purchases. Visit "," An understated, balanced PNG cup with pretty nut tones andcrisp  cocoa throughout."
